,longtermtrend,meanmedrat,skews,varss,coeffvar,stds,numoutliers,numnegoutliers,numposoutliers,numout1s,kurt,mad,maxslope,minslope,meanpslope,meannslope,g_asymm,rough_g_asymm,diff_asymm,skewslope,varabsslope,varslope,meanabsslope,absmeansecder,num_pspikes,num_nspikes,num_psdspikes,num_nsdspikes,stdratio,pstrend,num_zcross,num_pm,len_nmax,len_nmin,mautocorrcoef,ptpslopes,periodicity,periodicityr,naiveperiod,maxvars,maxvarsr,oeratio,amp,normamp,mbp,mid20,mid35,mid50,mid65,mid80,percentamp,magratio,sautocorrcoef,autocorrcoef,flatmean,tflatmean,roundmean,troundmean,roundrat,flatrat,mstat
0,-0.027379805803303525,-2.4739333897836593,-0.002588289269915701,0.5394198042709343,-1.4441503386790497,-0.8222310556365207,-1.05604230102859,-2.073595332500417,-0.8010770412338631,57.92784373937169,1.0014790705089267,2.8317894146501974,-6.761633243087818,-0.5833169960070517,-0.022845667565478654,-0.000762395860387128,-0.0007624674344026146,-0.05618466779357902,-2.56979502759948,-2.704898955032604,-0.7158589018016019,-0.6998150495211217,-0.678779119147513,765.8515314348846,-16.204517876460162,-7.004295881554715,-9.072783992847555,0.5827768307174477,-4.576098445741957,0.013360946614106391,6.660393817265192,1.111339449063897,2.526424539243309,0.049112241157695156,-0.020309689844697235,0.3063282280586174,0.37683122489378734,-0.3061520433490725,-0.013540994474883782,0.7546875786815398,0.20945768264125653,-2.438950217544905,2.662214594491238,1.0263581740542018,-7.938917163323436,-6.706425248157972,-0.13400844120595798,-0.2673851896261546,0.21037862298244983,2.8198675943522136,0.7520886288570814,1.0532199427335431,-3.2463924532167234,27.932926377485508,-3.4016482229415392,-3.5115575432266626,-4.7403542255325855,-6.92196234345374,0.10014047608546868,-0.017589108227168054,3.0599221295652286
0,-0.026897061294934698,-2.2863166645407538,-0.0026027593084935155,0.43928755799883157,-1.4444405612961964,-0.8251137708364694,-1.05604230102859,-2.073595332500417,-0.8010770412338631,57.20816502807869,1.0151929523780043,2.8317583568998104,-6.9816684492351095,-0.5738975105415077,-0.024414742572852505,-0.0007623952772465172,-0.0007624653953120269,-0.056166790360566696,-2.5703839001203836,-2.6977054629004376,-0.7177007742809928,-0.7027418067441923,-0.682238451347355,765.3094199918637,-16.204517876460162,-7.004295881554715,-9.072783992847555,0.5827768307174477,-4.867713334419299,0.012907026625237072,6.660393817265192,1.1423500198685184,2.526424539243309,0.049112241157695156,-0.019870201771742223,0.298933946884526,0.3730042574529444,-0.31141628111086944,-0.013540994474883782,0.7546785494989614,0.2091658076205325,-2.4390143857466042,2.4042188347220352,0.09388007159251836,-7.93655035627736,-6.704389514794521,-0.13732213657696,-0.2721638263509899,0.19983157620744657,2.787127068694837,0.3098734156419301,1.0594010377188179,-3.547006248491349,27.932269887078093,-3.4253588617259,-3.6048727676747454,-2.6661092814553067,-10.036985678048826,-0.032556272020813216,-0.016798495332961946,3.066213506346335
0,-0.02635902822451539,-2.07490245462052,-0.0026086937253194335,0.3300727480400962,-1.4447731420367942,-0.828507248556319,-1.05604230102859,-2.073595332500417,-0.8010770412338631,56.84831408291004,1.0092930372606386,2.831409227784063,-6.806757486761181,-0.5624067348407689,-0.026093167164451852,-0.0007623947833715545,-0.0007624621976654692,-0.05613660064586543,-2.571302512837202,-2.6800240458336035,-0.7197353844638482,-0.7058086327074375,-0.6856428186778648,765.2610547930906,-16.1506846817141,-6.553810052865146,-9.072783992847555,0.5827768307174477,-4.401959219884575,0.012793546628019297,6.660393817265192,1.1689305082217867,2.526424539243309,0.05087056386854299,-0.019866736094297385,0.29678771523065484,0.3677640029628728,-0.3187862634488158,-0.013540994474883782,0.7546928101612185,0.20944055328252129,-2.439606954255357,2.0741620412838127,-1.058354885696894,-7.934972484887635,-6.703950647073873,-0.13224021329570482,-0.2778687690440271,0.1898610354385377,2.757228535059204,-0.1560272912294202,1.0689436488961206,-3.902813900767912,27.931275131323567,-3.417137433856128,-3.5729554530944085,-6.319517165417746,-11.36646335834823,0.0007780129438632704,-0.017097282938071154,3.070407757463656
0,-0.025799723373471875,-1.8604279851275267,-0.002610066879942896,0.22580457628544762,-1.445112080744068,-0.8320585861217521,-1.05604230102859,-2.073595332500417,-0.8010770412338631,56.84831408291004,0.99508637168283,2.831430583190377,-7.542735695447113,-0.5592867673863328,-0.027678158669891945,-0.0007623942374747929,-0.0007624596179650776,-0.05611208720031759,-2.571993275883231,-2.6761963250435894,-0.7214127451640896,-0.7084982748068968,-0.6890573826264567,765.6738819243492,-16.204517876460162,-6.103322841418563,-9.072783992847555,0.5827768307174477,-4.468700437597828,0.012453106636364985,6.660393817265192,1.1999410768807035,2.6442662335228895,0.05087056386854299,-0.020604518199412745,1.3322652032018882,0.3018104488763327,-0.3223453649957247,-0.019068604221738488,0.8982862803889091,1.36618625718949,-2.4396048279940734,1.7547824308639866,-2.152571409721584,-7.93300014562159,-6.702787728039342,-0.13962259456456616,-0.28977535902904045,0.17617850685026226,2.7388719106883377,-0.623214796691535,1.080757048637539,-4.26431026923703,27.929851565584336,-3.421372462949403,-3.6998943681079806,-7.179829733716516,-13.041269836279984,0.0025083336758700663,-0.014872365469780182,3.070407757463656
0,-0.025207251676162088,-1.631156206616321,-0.0026065746644831295,0.12275861888349131,-1.44547603046149,-0.835972964329536,-1.05604230102859,-2.073595332500417,-0.8010770412338631,56.48845547576607,0.9714264038074883,2.8313970444966285,-7.88851140268631,-0.5565536556336512,-0.028832034883380892,-0.0007623934571447517,-0.0007624604154744408,-0.0561243845755717,-2.5716451575176165,-2.6695226813543895,-0.7231317655133627,-0.7111853646309929,-0.6924284647905267,765.3791603924967,-16.204517876460162,-6.328566614046449,-9.072783992847555,0.5827768307174477,-4.1013647719100135,0.011318306664173305,6.660393817265192,1.2353817253058204,2.6442662335228895,0.05614553200008279,-0.02064839257853118,1.221535251055481,0.2977691925939667,-0.3322722103021244,-0.019068604221738488,0.8773862963852195,1.1947039935319963,-2.439977633234045,1.4246615552291257,-3.260736319883259,-7.931422274185655,-6.699450828243652,-0.13736765767693077,-0.29713497079654244,0.16353187374646552,2.7275905616074305,-1.1103777100449295,1.0964407297282053,-4.6696448823624275,27.927680618237694,-3.3590397298871535,-3.7049521914393297,-7.846581380537975,-17.267937617295058,-0.0002374620395967541,-0.01305619637348883,3.068310631912009
0,-0.02459616508128702,-1.3971138684366744,-0.002600845167698919,0.028600824889842915,-1.4458456957900074,-0.840053555527202,-1.05604230102859,-2.073595332500417,-0.8010770412338631,55.768715468701345,0.9441807145985616,2.8311557629662474,-7.974801491702267,-0.5085075172186785,-0.029889340671083533,-0.0007623926643756261,-0.0007624617825408197,-0.056142678443214515,-2.571153389548892,-2.656126764144502,-0.7246432752418295,-0.7136110808761621,-0.6957001341345945,765.132291832564,-16.1506846817141,-6.779053145994565,-9.072783992847555,0.5827768307174477,-2.9163892605895403,0.009956546697523428,13.600998843804932,1.2752524528534992,2.6442662335228895,0.05614553200008279,-0.02068568556417033,1.0785523606967435,0.2977691925939667,-0.3322722103021244,-0.019068604221738488,0.8570758759426533,1.028032330618663,-2.4399229500254416,1.1003550812984546,-4.326357969814489,-7.929449934861868,-6.697174589107509,-0.1400159679310522,-0.3017228023285185,0.14861075953528582,2.744885006460177,-1.5865475181444142,1.1173615150848881,-5.093926936705137,27.924301017272825,-3.373137343943079,-3.621381481684955,-7.538514910326468,-12.448171668537094,0.00583901867696737,-0.015353846045825783,3.062019255172934
0,-0.02394210486333899,-1.1484087267595713,-0.00259117971726203,-0.058341336127728544,-1.4462368385564568,-0.8444863646699339,-1.05604230102859,-2.073595332500417,-0.8010770412338631,56.12858925493276,0.9102047786946159,2.831197582537081,-8.200283488735144,-0.48537579082178833,-0.030838736171268016,-0.0007623918698035007,-0.0007624637488086628,-0.056166790360566696,-2.5705279876791867,-2.666589740853206,-0.7260915802531807,-0.7159093982808286,-0.698836841938981,765.3803241000926,-16.1506846817141,-6.779053145994565,-9.072783992847555,0.5827768307174477,-2.909464961778819,0.008935226722523285,6.660393817265192,1.297402856140186,2.8799495058539386,0.057903854710242654,-0.012331423074917348,1.0471762138456013,0.28721168967427,-0.3138198425784269,-0.02874192127717114,0.866662810190484,1.532709335860819,-2.4395982498291517,0.7654514999242651,-5.401897517889814,-7.9282665312521985,-6.68719472987619,-0.12369777709569231,-0.30395204538460846,0.13744641351725298,2.9228244094878773,-2.0777284582850224,1.148151612507215,-5.552237662849704,27.918316909018806,-3.2825862410268845,-3.602967576613129,-4.548481310363339,-9.451580298670553,-0.014107953110419132,-0.013720920852030338,3.0473393756255245
0,-0.02330402773745598,-0.9033246335711573,-0.002578205070742683,-0.1300521366783147,-1.446622291692507,-0.848971785387006,-1.05604230102859,-2.073595332500417,-0.8010770412338631,55.768715468701345,0.8727501888769139,2.830910588534323,-8.581005719469417,-0.4643118036814046,-0.03225149828413992,-0.0007623913676771426,-0.0007624613077911735,-0.056148736214872215,-2.5711091362146643,-2.6864847507389182,-0.7272329265003885,-0.7178633957351791,-0.7019039342731813,765.7357179478901,-16.043018146390406,-7.2295382476656815,-9.072783992847555,0.5827768307174477,-3.8798632894680494,0.008027386744737203,6.660393817265192,1.346133741025483,2.8799495058539386,0.057903854710242654,-0.012431129672459695,0.8942178270301039,0.2845299572786055,-0.32224268162536474,-0.02874192127717114,0.8396742317230373,1.2122224913765933,-2.4395888711969036,0.44022563746276017,-6.421455990599934,-7.927872063379743,-6.677017224568083,-0.10321997205755906,-0.30479593216023726,0.12609829122673166,3.1187871265547407,-2.5447758134661207,1.1938980715508833,-5.994341550336988,27.907057427307944,-3.283880424549848,-3.6462566841771498,-8.258446607931058,-9.917359201400943,0.02646719840927342,-0.012733364125400588,3.0179796144858066
0,-0.02262187436500389,-0.6416239256045111,-0.002556198926990242,-0.18918325082406917,-1.4470282198965185,-0.8538217225525303,-1.05604230102859,-2.073595332500417,-0.8010770412338631,56.12858925493276,0.8243451058724777,2.8307978742581112,-8.670184890610342,-0.4510492035861969,-0.032886839745887804,-0.0007623907626786788,-0.0007624632859074278,-0.05617276901110491,-2.5705277871636767,-2.6860688790215543,-0.7283612657220668,-0.719571028487741,-0.7041748392301687,765.5589478052841,-15.98918480613709,-7.004295881554715,-9.072783992847555,0.5827768307174477,-3.4381200620111665,0.006779106775270275,13.600998843804932,1.3771443024115508,2.9388702984819965,0.06142050012999842,-0.010757298665722725,0.7898844126690462,0.2791835869330461,-0.33016337958970293,-0.030913482248448,0.8183599859046417,1.0540744222356964,-2.4397073658130797,0.1040606147836892,-7.449933092066568,-7.924321852469947,-6.6541045846993505,-0.06876029325133903,-0.300804641765625,0.11719814198824971,3.4401249077442353,-3.032328896362042,1.2787747441865898,-6.430417767882879,27.879018069382322,-3.257722631009141,-3.5837565168721377,-8.765744662124213,-8.591720674239516,0.0656524351594788,-0.013598103112930809,2.9550658315413725
0,-0.021920818183041323,-0.3738280745008329,-0.0025003931031738684,-0.2307174018823461,-1.4474435016674525,-0.8589192583652382,-1.05604230102859,-2.073595332500417,-0.8010770412338631,56.48845547576607,0.738846126366085,2.8304132694573663,-8.670184890610342,-0.4215903256059092,-0.03375631879164957,-0.000762390245987299,-0.0007624634738310098,-0.0561787281235695,-2.570423949199086,-2.6887510469217113,-0.7291903757073847,-0.7209994609168463,-0.7065520221157047,765.6009648379273,-15.881517981258256,-7.2295382476656815,-9.072783992847555,0.5827768307174477,-3.1254293329734275,0.006552146780820507,20.540922739046984,1.3815743824978892,2.9388702984819965,0.06493714554896447,-0.010867318059235456,0.6118073231386296,0.2766960631733737,-0.3330220703854219,-0.030913482248448,0.788536513948846,0.6571940069794908,-2.439581743155495,-0.2331896372754091,-8.455741515933282,-7.9266886597546815,-6.602547655056056,0.017306630564975358,-0.2868948679697052,0.15568317631970663,3.7203271115127072,-3.521190421687723,1.472086831877982,-6.832506026458199,27.773054749856342,-3.258223480682357,-3.6451835549085554,-9.025053275242136,-5.521041573985618,-0.09750410111057659,-0.012152212425889744,2.793587066942703
0,-0.021199057817998912,-0.09806540135002534,-0.002216298857948983,-0.25129162537235766,-1.4478549537734073,-0.8641059745853881,-0.8851738625564132,-1.8848508737253358,-0.8010770412338631,82.01662254023566,0.6539964247470254,2.8302558867088234,-8.670184890610361,-0.4176211883257729,-0.034388370764905,-0.000762389805057411,-0.0007624641893110049,-0.05619058811612925,-2.57020327533178,-2.687355655831741,-0.7296410747701241,-0.7219188674948437,-0.7084346615728493,765.3876660601309,-15.935351417705649,-7.2295382476656815,-9.072783992847555,0.5827768307174477,-2.4770547066599806,0.0056443068030180305,580.3188995124913,1.4081548624207867,3.1745533607956364,0.06845379096709563,-0.010875878049311819,0.457436452557822,0.2632690434366484,-0.36721412565244266,-0.03878026916191541,0.7607216901220084,0.3093856485784256,-2.439590925455628,-0.5574627015663989,-9.39855818215272,-7.976786069763168,-6.354531414229095,0.577133098773392,-0.20600426938112817,0.2187593136758597,3.4046122937487957,-3.9096615754359583,2.291388511951873,-7.11580063775333,26.19438796756701,-3.213323684726789,-3.6240286263669033,-6.601342409053094,-5.770152317173197,-0.05252036756037746,-0.011675860493599205,2.036523349398604
0,-0.02103337232554963,-0.035691898193959806,-0.0030682539057031106,-0.25262899230885777,-1.4479249291824519,-0.8650010832316669,0.9943795929091003,0.1913412422607177,-0.8010770412338631,77.34610203873017,4.626167590687466,2.8298521454905363,-8.670184890610361,-0.41762118832576905,-0.03463709104711176,-0.0007623898164078392,-0.0007624628515167896,-0.0561787281235695,-2.570527275055039,-2.6832758236802965,-0.7297079582304866,-0.722060315350901,-0.7087363010481769,765.3112593920678,-15.935351417705649,-7.2295382476656815,-9.072783992847555,0.5827768307174477,-2.308694128172781,0.00575778680024362,674.9227844551987,1.412584942307903,3.233474098261106,0.07021211367583402,-0.01623153713398892,0.38466909996273185,0.26418316492207733,-0.36721528524418784,-0.040564864341030335,0.7551549071066769,0.23511175224771402,-2.43961225578467,-0.5807453618815575,-9.466305381732383,-7.97954734372654,-6.07955136495068,1.200398940259978,-0.11688153432248857,0.24885853640714686,2.8966797127422597,-3.9092930977884937,2.46487418129875,-7.156631522121073,23.235298694674185,-3.258702042730722,-3.6263903067437258,-4.059503798706356,-6.433736262935597,0.04162473468958529,-0.012647623656808958,1.12636761868213
